<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,20131003,0,32.13
USDRUB,D,20131004,0,32.17
USDRUB,D,20131005,0,32.18
USDRUB,D,20131007,0,32.27
USDRUB,D,20131008,0,32.4
USDRUB,D,20131009,0,32.32
USDRUB,D,20131010,0,32.17
USDRUB,D,20131011,0,32.21
USDRUB,D,20131012,0,32.28
USDRUB,D,20131014,0,32.26
USDRUB,D,20131015,0,32.28
USDRUB,D,20131016,0,32.05
USDRUB,D,20131017,0,31.87
USDRUB,D,20131018,0,31.91
USDRUB,D,20131019,0,31.84
USDRUB,D,20131020,0,31.86
USDRUB,D,20131021,0,31.96
USDRUB,D,20131022,0,31.68
USDRUB,D,20131023,0,31.75
USDRUB,D,20131024,0,31.7
USDRUB,D,20131025,0,31.79
USDRUB,D,20131026,0,31.79
USDRUB,D,20131028,0,31.88
USDRUB,D,20131029,0,32.08
USDRUB,D,20131030,0,32.02
USDRUB,D,20131031,0,32.07
USDRUB,D,20131101,0,32.41
USDRUB,D,20131102,0,32.4
USDRUB,D,20131104,0,32.33
USDRUB,D,20131105,0,32.53
USDRUB,D,20131106,0,32.38
USDRUB,D,20131107,0,32.41
USDRUB,D,20131108,0,32.67
USDRUB,D,20131109,0,32.66
USDRUB,D,20131111,0,32.83
USDRUB,D,20131112,0,32.89
USDRUB,D,20131113,0,32.74
USDRUB,D,20131114,0,32.72
USDRUB,D,20131115,0,32.57
USDRUB,D,20131116,0,32.58
USDRUB,D,20131118,0,32.57
USDRUB,D,20131119,0,32.73
USDRUB,D,20131120,0,32.92
USDRUB,D,20131121,0,33
USDRUB,D,20131122,0,32.71
USDRUB,D,20131123,0,32.75
USDRUB,D,20131125,0,32.94
USDRUB,D,20131126,0,32.92
USDRUB,D,20131127,0,33.18
USDRUB,D,20131128,0,33.15
USDRUB,D,20131129,0,33.14
USDRUB,D,20131130,0,33.12
USDRUB,D,20131202,0,33.21
USDRUB,D,20131203,0,33.24
USDRUB,D,20131204,0,33.18
USDRUB,D,20131205,0,32.97
USDRUB,D,20131206,0,32.69
USDRUB,D,20131207,0,32.7
USDRUB,D,20131208,0,32.82
USDRUB,D,20131209,0,32.75
USDRUB,D,20131210,0,32.71
USDRUB,D,20131211,0,32.76
USDRUB,D,20131212,0,32.78
USDRUB,D,20131213,0,32.85
USDRUB,D,20131214,0,32.87
USDRUB,D,20131215,0,32.87
USDRUB,D,20131216,0,32.89
USDRUB,D,20131217,0,32.96
USDRUB,D,20131218,0,32.82
USDRUB,D,20131219,0,32.96
USDRUB,D,20131220,0,32.98
USDRUB,D,20131221,0,32.97
USDRUB,D,20131223,0,32.68
USDRUB,D,20131224,0,32.61
USDRUB,D,20131225,0,32.67
USDRUB,D,20131226,0,32.67
USDRUB,D,20131227,0,32.6
USDRUB,D,20131228,0,32.56
USDRUB,D,20131230,0,32.88
USDRUB,D,20131231,0,32.84
USDRUB,D,20140101,0,32.84
USDRUB,D,20140102,0,33.11
USDRUB,D,20140103,0,33.2
USDRUB,D,20140104,0,33.18
USDRUB,D,20140106,0,33.19
USDRUB,D,20140107,0,33.14
USDRUB,D,20140108,0,33.15
USDRUB,D,20140109,0,33.21
USDRUB,D,20140110,0,32.99
USDRUB,D,20140111,0,32.99
USDRUB,D,20140112,0,32.99
USDRUB,D,20140113,0,33.28
USDRUB,D,20140114,0,33.3
USDRUB,D,20140115,0,33.4
USDRUB,D,20140116,0,33.38
USDRUB,D,20140117,0,33.59
USDRUB,D,20140118,0,33.59
USDRUB,D,20140120,0,33.76
USDRUB,D,20140121,0,33.93
USDRUB,D,20140122,0,33.93
USDRUB,D,20140123,0,34.14
USDRUB,D,20140124,0,34.51
USDRUB,D,20140125,0,34.48
USDRUB,D,20140127,0,34.67
USDRUB,D,20140128,0,34.71
USDRUB,D,20140129,0,35.17
USDRUB,D,20140130,0,34.9
USDRUB,D,20140131,0,35.16
USDRUB,D,20140201,0,35.11
USDRUB,D,20140202,0,35.13
USDRUB,D,20140203,0,35.44
USDRUB,D,20140204,0,34.97
USDRUB,D,20140205,0,34.87
USDRUB,D,20140206,0,34.7102
USDRUB,D,20140207,0,34.75
USDRUB,D,20140208,0,34.8
USDRUB,D,20140209,0,34.78
USDRUB,D,20140210,0,34.74
USDRUB,D,20140211,0,34.74
USDRUB,D,20140212,0,34.83
USDRUB,D,20140213,0,35.12
USDRUB,D,20140214,0,35.11
USDRUB,D,20140215,0,35.09
USDRUB,D,20140216,0,35.1
USDRUB,D,20140217,0,35.21
USDRUB,D,20140218,0,35.47
USDRUB,D,20140219,0,35.78
USDRUB,D,20140220,0,35.77
USDRUB,D,20140221,0,35.49
USDRUB,D,20140222,0,35.57
USDRUB,D,20140223,0,35.57
USDRUB,D,20140224,0,35.47
USDRUB,D,20140225,0,35.72
USDRUB,D,20140226,0,36.02
USDRUB,D,20140227,0,36.04
USDRUB,D,20140228,0,35.97
USDRUB,D,20140301,0,35.95
USDRUB,D,20140302,0,35.88
USDRUB,D,20140303,0,36.51
USDRUB,D,20140304,0,36.08
USDRUB,D,20140305,0,36.04
USDRUB,D,20140306,0,36.13
USDRUB,D,20140307,0,36.44
USDRUB,D,20140308,0,36.45
USDRUB,D,20140309,0,36.38
USDRUB,D,20140310,0,36.36
USDRUB,D,20140311,0,36.44
USDRUB,D,20140312,0,36.49
USDRUB,D,20140313,0,36.61
USDRUB,D,20140314,0,36.56
USDRUB,D,20140315,0,36.61
USDRUB,D,20140317,0,36.28
USDRUB,D,20140318,0,36.24
USDRUB,D,20140319,0,36.14
USDRUB,D,20140320,0,36.41
USDRUB,D,20140321,0,36.23
USDRUB,D,20140322,0,36.23
USDRUB,D,20140324,0,36.08
USDRUB,D,20140325,0,35.48
USDRUB,D,20140326,0,35.53
USDRUB,D,20140327,0,35.63
USDRUB,D,20140328,0,35.81
USDRUB,D,20140329,0,35.76
USDRUB,D,20140330,0,35.63
USDRUB,D,20140331,0,35.04
USDRUB,D,20140401,0,35.07
USDRUB,D,20140402,0,35.46
USDRUB,D,20140403,0,35.62
USDRUB,D,20140404,0,35.31
USDRUB,D,20140405,0,35.31
USDRUB,D,20140407,0,35.57
USDRUB,D,20140408,0,35.72
USDRUB,D,20140409,0,35.52
USDRUB,D,20140410,0,35.54
USDRUB,D,20140411,0,35.63
USDRUB,D,20140412,0,35.74
USDRUB,D,20140413,0,35.75
USDRUB,D,20140414,0,35.94
USDRUB,D,20140415,0,36.28
USDRUB,D,20140416,0,36
USDRUB,D,20140417,0,35.47
USDRUB,D,20140418,0,35.56
USDRUB,D,20140419,0,35.58
USDRUB,D,20140421,0,35.69
USDRUB,D,20140422,0,35.71
USDRUB,D,20140423,0,35.7
USDRUB,D,20140424,0,35.74
USDRUB,D,20140425,0,36.03
USDRUB,D,20140426,0,36.03
USDRUB,D,20140427,0,36.02
USDRUB,D,20140428,0,35.81
USDRUB,D,20140429,0,35.63
USDRUB,D,20140430,0,35.61
USDRUB,D,20140501,0,35.62
USDRUB,D,20140502,0,35.85
USDRUB,D,20140503,0,35.84
USDRUB,D,20140505,0,35.71
USDRUB,D,20140506,0,35.446
USDRUB,D,20140507,0,34.92
USDRUB,D,20140508,0,35.07
USDRUB,D,20140509,0,35.22
USDRUB,D,20140510,0,35.21
USDRUB,D,20140511,0,35.23
USDRUB,D,20140512,0,35
USDRUB,D,20140513,0,34.83
USDRUB,D,20140514,0,34.72
USDRUB,D,20140515,0,34.75
USDRUB,D,20140516,0,34.77
USDRUB,D,20140517,0,34.75
USDRUB,D,20140518,0,34.72
USDRUB,D,20140519,0,34.55
USDRUB,D,20140520,0,34.53
USDRUB,D,20140521,0,34.3
USDRUB,D,20140522,0,34.3
USDRUB,D,20140523,0,34.1
USDRUB,D,20140524,0,34.12
USDRUB,D,20140525,0,34.11
USDRUB,D,20140526,0,34.17
USDRUB,D,20140527,0,34.42
USDRUB,D,20140528,0,34.56
USDRUB,D,20140529,0,34.67
USDRUB,D,20140530,0,34.89
USDRUB,D,20140531,0,34.88
USDRUB,D,20140601,0,34.9
USDRUB,D,20140602,0,34.95
USDRUB,D,20140603,0,35.08
USDRUB,D,20140604,0,34.97
USDRUB,D,20140605,0,34.68
USDRUB,D,20140606,0,34.39
USDRUB,D,20140607,0,34.41
USDRUB,D,20140608,0,34.44
USDRUB,D,20140609,0,34.34
USDRUB,D,20140610,0,34.34
USDRUB,D,20140611,0,34.37
USDRUB,D,20140612,0,34.35
USDRUB,D,20140613,0,34.38
USDRUB,D,20140614,0,34.39
USDRUB,D,20140615,0,34.29
USDRUB,D,20140616,0,34.62
USDRUB,D,20140617,0,34.83
USDRUB,D,20140618,0,34.4
USDRUB,D,20140619,0,34.36
USDRUB,D,20140620,0,34.46
USDRUB,D,20140621,0,34.46
USDRUB,D,20140622,0,34.46
USDRUB,D,20140623,0,34.19
USDRUB,D,20140624,0,33.82
USDRUB,D,20140625,0,33.76
USDRUB,D,20140626,0,33.68
USDRUB,D,20140627,0,33.74
USDRUB,D,20140628,0,33.74
USDRUB,D,20140629,0,33.743
USDRUB,D,20140630,0,33.9612
USDRUB,D,20140701,0,34.3243
USDRUB,D,20140702,0,34.2711
USDRUB,D,20140703,0,34.2815
USDRUB,D,20140704,0,34.4088
USDRUB,D,20140705,0,34.4016
USDRUB,D,20140706,0,34.3913
USDRUB,D,20140707,0,34.4483
USDRUB,D,20140708,0,34.2253
USDRUB,D,20140709,0,33.9183
USDRUB,D,20140710,0,33.925
USDRUB,D,20140711,0,34.1643
USDRUB,D,20140712,0,34.2
USDRUB,D,20140713,0,34.2002
USDRUB,D,20140714,0,34.3303
USDRUB,D,20140715,0,34.3953
USDRUB,D,20140716,0,34.3873
USDRUB,D,20140717,0,35.1925
USDRUB,D,20140718,0,35.1605
USDRUB,D,20140719,0,35.02
USDRUB,D,20140720,0,35.02
USDRUB,D,20140721,0,35.1759
USDRUB,D,20140722,0,34.9595
